No,Word,Parts of Speech,IPA,Vietnamese,Example
166,front,n/adj,/frʌnt/,Phía trước,"My house has a small garden in front of it. 
(Nhà của tớ có một khu vườn nhỏ ở phía trước.)"
167,full,adj,/fʊl/,Đầy,"The bus is full of people going to the city center. 
(Xe buýt đã đầy nghẹt người đi đến trung tâm thành phố.)"
168,fur,n,/fɜːr/,Lông (thú),"The rabbit has very soft and white fur. 
(Con thỏ có bộ lông rất trắng và mềm mại.)"
169,furry,adj,/ˈfɜːri/,"Nhiều lông, mịn","I love my furry teddy bear; it feels so cozy. 
(Tớ yêu chú gấu bông mịn màng của mình; cảm giác rất ấm áp.)"
170,future,n/adj,/ˈfjuːtʃər/,Tương lai,"I want to be a famous doctor in the future. 
(Tớ muốn trở thành một bác sĩ nổi tiếng trong tương lai.)"
171,gate,n,/ɡeɪt/,Cổng,"Please close the garden gate so the dog can't run out. 
(Làm ơn đóng cổng vườn lại để chú chó không chạy ra ngoài được.)"
172,glass,n,/ɡlæs/,Ly thủy tinh / Kính,"Would you like a glass of fresh orange juice? 
(Bạn có muốn một ly nước cam tươi không?)"
173,geography,n,/dʒiˈɑːɡrəfi/,Địa lý,"We learn about rivers and mountains in geography class. 
(Chúng tớ học về các dòng sông và những ngọn núi trong tiết địa lý.)"
174,glove,n,/ɡlʌv/,Găng tay,"You should wear gloves to keep your hands warm in winter. 
(Con nên đeo găng tay để giữ ấm đôi tay vào mùa đông.)"
175,George,n,/dʒɔːrdʒ/,Gioóc-giơ,"George has a pet dog named Max. 
(Gioóc-giơ có một con chó cưng tên Max.)"
176,glue,n/v,/ɡluː/,Keo dán,"Use a bit of glue to stick the picture on the paper. 
(Hãy dùng một ít keo để dán bức tranh lên giấy.)"
177,get to,v,/ɡet tu/,Đi đến,"How do you get to the park from your house? 
(Bạn đi đến công viên từ nhà bằng cách nào?)"
178,go away,v,/ɡoʊ əˈweɪ/,"Đi chỗ khác, biến đi","The rain finally went away, and the sun came out. 
(Cơn mưa cuối cùng cũng đi mất, và mặt trời đã hiện ra.)"
179,go out,v,/ɡoʊ aʊt/,Đi ra ngoài / Đi chơi,"Do you want to go out for dinner tonight? 
(Bạn có muốn đi ra ngoài ăn tối nay không?)"
180,gold,n/adj,/ɡoʊld/,Vàng,"The king wore a heavy crown made of pure gold. 
(Nhà vua đã đội một chiếc vương miện nặng nề làm bằng vàng nguyên chất.)"
181,golf,n,/ɡɑːlf/,Môn gôn,"My grandpa enjoys playing golf on Sunday mornings. 
(Ông nội tớ thích chơi gôn vào các sáng Chủ nhật.)"
182,group,n,/ɡruːp/,Nhóm,"A small group of students is practicing English now. 
(Một nhóm nhỏ học sinh đang luyện tập tiếng Anh lúc này.)"
183,guess,v,/ɡes/,Đoán,"Can you guess what I have in my pocket? 
(Bạn có đoán được tớ có cái gì trong túi không?)"
184,gym,n,/dʒɪm/,Phòng tập thể dục,"We often have our PE lessons in the school gym. 
(Chúng tớ thường có các tiết thể dục ở phòng tập của trường.)"
185,half,n/det,/hæf/,Một nửa,"Can I have half of your apple, please? 
(Tớ có thể xin một nửa quả táo của cậu được không?)"
186,happen,v,/ˈhæpən/,Xảy ra,"What will happen if we mix blue and yellow paint? 
(Điều gì sẽ xảy ra nếu chúng ta trộn màu xanh dương và màu vàng?)"
187,Helen,n,/ˈhelən/,Hê-len,"Helen sings beautifully in the school choir. 
(Hê-len hát rất hay trong đội hợp xướng của trường.)"
188,hard,adj/adv,/hɑːrd/,Cứng / Khó / Chăm chỉ,"The stone is very hard. / This math question is too hard. 
(Hòn đá rất cứng. / Câu hỏi toán này khó quá.)"
189,high,adj/adv,/haɪ/,Cao,"The birds are flying very high in the sky. 
(Những chú chim đang bay rất cao trên bầu trời.)"
190,Harry,n,/ˈhæri/,Ha-ri,"Harry is good at maths and science. 
(Ha-ri giỏi toán và khoa học.)"
191,hill,n,/hɪl/,Đồi,"We climbed up the hill to see the whole city. 
(Chúng tớ đã leo lên đồi để ngắm nhìn toàn bộ thành phố.)"
192,hate,v,/heɪt/,Ghét,"I hate eating spiders in my dreams! 
(Tớ ghét việc phải ăn những con nhện trong giấc mơ của mình!)"
193,history,n,/ˈhɪstəri/,Lịch sử,"I like history because I can learn about old kings. 
(Tớ thích lịch sử vì tớ có thể học về các vị vua ngày xưa.)"
194,hear,v,/hɪr/,Nghe thấy,"Did you hear that strange noise outside the window? 
(Bạn có nghe thấy tiếng động lạ bên ngoài cửa sổ không?)"
195,heavy,adj,/ˈhevi/,Nặng,"This backpack is so heavy! What's inside it? 
(Chiếc ba lô này nặng quá! Có cái gì bên trong thế nhỉ?)"
196,hole,n,/hoʊl/,"Cái lỗ, cái hố","The rabbit lives in a small hole under the tree. 
(Con thỏ sống trong một cái hang nhỏ dưới gốc cây.)"
197,Holly,n,/ˈhɑːli/,Hol-li,"Holly decorated the classroom with flowers. 
(Hol-li trang trí lớp học bằng những bông hoa.)"
198,honey,n,/ˈhʌni/,Mật ong,"Bees make sweet honey from many different flowers. 
(Loài ong làm ra mật ong ngọt ngào từ nhiều loài hoa khác nhau.)"
199,hope,v/n,/hoʊp/,Hy vọng,"I hope you have a wonderful time at the party! 
(Tớ hy vọng bạn có một thời gian tuyệt vời ở bữa tiệc!)"
200,horrible,adj,/ˈhɔːrəbl/,Kinh khủng,"The medicine tastes horrible, but it helps me feel better. 
(Thuốc có vị rất kinh khủng, nhưng nó giúp tớ thấy khỏe hơn.)"
201,hotel,n,/hoʊˈtel/,Khách sạn,"We stayed in a beautiful hotel near the beach during our holiday. 
(Chúng tớ đã ở trong một khách sạn đẹp gần bãi biển suốt kỳ nghỉ.)"
202,hour,n,/ˈaʊər/,"Tiếng, giờ đồng hồ","The movie lasts for one hour and thirty minutes. 
(Bộ phim kéo dài trong một tiếng ba mươi phút.)"
203,how long,phrase,/haʊ lɔːŋ/,Bao lâu,"How long does it take to walk from your house to the school? 
(Mất bao lâu để đi bộ từ nhà của bạn đến trường thế?)"
204,hurry,v/n,/ˈhɜːri/,"Nhanh lên, vội vã","Hurry up, or we will miss the school bus! 
(Nhanh lên nào, nếu không chúng mình sẽ lỡ chuyến xe buýt trường đấy!)"
205,husband,n,/ˈhʌzbənd/,Chồng,"My uncle is a very kind husband and a great father. 
(Chú tớ là một người chồng rất tốt bụng và là một người cha tuyệt vời.)"
206,if,conj,/ɪf/,Nếu,"If it rains tomorrow, we will play board games inside the house. 
(Nếu ngày mai trời mưa, chúng tớ sẽ chơi cờ bàn ở trong nhà.)"
207,if you want,phrase,/ɪf ju wɑːnt/,Nếu bạn muốn,"We can go to the ice cream shop after school if you want. 
(Chúng mình có thể đi đến tiệm kem sau giờ học nếu cậu muốn.)"
208,important,adj,/ɪmˈpɔːrtnt/,Quan trọng,"It is important to wash your hands before eating. 
(Việc rửa tay trước khi ăn là rất quan trọng.)"
209,improve,v,/ɪmˈpruːv/,"Cải thiện, tiến bộ","I practice speaking English every day to improve my skills. 
(Tớ luyện nói tiếng Anh mỗi ngày để cải thiện các kỹ năng của mình.)"
210,in a minute,phrase,/ɪn ə ˈmɪnɪt/,"Một phút nữa, ngay thôi","Please wait, I will finish my breakfast in a minute. 
(Làm ơn đợi chút, tớ sẽ ăn xong bữa sáng trong một phút nữa thôi.)"
211,information,n,/ˌɪnfərˈmeɪʃn/,Thông tin,"You can find a lot of information about dinosaurs in this book. 
(Con có thể tìm thấy rất nhiều thông tin về khủng long trong cuốn sách này.)"
212,insect,n,/ˈɪnsekt/,Côn trùng,"A ladybug is a small, colorful insect with black spots. 
(Bọ rùa là một loài côn trùng nhỏ nhắn, màu sắc với những đốm đen.)"
213,instead,adv,/ɪnˈsted/,Thay vào đó,"We didn't go to the park; instead, we went to the cinema. 
(Chúng tớ đã không đi công viên; thay vào đó, chúng tớ đã đi xem phim.)"
214,instrument,n,/ˈɪnstrəmənt/,Nhạc cụ,"Which musical instrument can you play? I can play the guitar. 
(Bạn có thể chơi nhạc cụ nào? Tớ có thể chơi đàn ghi-ta.)"
215,interested,adj,/ˈɪntrəstɪd/,"Thích thú, quan tâm","He is very interested in learning about space and stars. 
(Cậu ấy rất thích thú với việc tìm hiểu về vũ trụ và các vì sao.)"
216,interesting,adj,/ˈɪntrəstɪŋ/,Thú vị,"This adventure storybook is so interesting that I can't stop reading. 
(Cuốn sách truyện phiêu lưu này thú vị đến nỗi tớ không thể ngừng đọc.)"
217,invent,v,/ɪnˈvent/,Phát minh,"Thomas Edison used his brilliant ideas to invent the light bulb. 
(Thomas Edison đã dùng những ý tưởng tài ba của mình để phát minh ra bóng đèn.)"
218,invitation,n,/ˌɪnvɪˈteɪʃn/,"Lời mời, thiệp mời","Thank you for the invitation to your birthday party! 
(Cảm ơn bạn vì lời mời đến bữa tiệc sinh nhật nhé!)"
219,jam,n,/dʒæm/,Mứt,"I like to spread sweet strawberry jam on my bread. 
(Tớ thích phết mứt dâu tây ngọt ngào lên bánh mì của mình.)"
220,join (a club),v,/dʒɔɪn/,Tham gia (câu lạc bộ),"Would you like to join our school football club this term? 
(Cậu có muốn tham gia câu lạc bộ bóng đá của trường mình học kỳ này không?)"
221,July,n,/dʒuˈlaɪ/,tháng Bảy,"We go on holiday in July every year. 
(Chúng tôi đi nghỉ hè vào tháng Bảy mỗi năm.)"
222,January,n,/ˈdʒænjueri/,tháng Một,"January is the first month of the year. 
(Tháng Một là tháng đầu tiên trong năm.)"
223,journalist,n,/ˈdʒɜːrnəlɪst/,Nhà báo,"The journalist wrote an exciting story about the new space rocket. 
(Nhà báo đã viết một bài viết đầy thú vị về con tàu vũ trụ mới.)"
224,June,n,/dʒuːn/,tháng Sáu,"School usually ends in June. 
(Trường học thường kết thúc vào tháng Sáu.)"
225,job,n,/dʒɑːb/,"Công việc, nghề nghiệp","My father loves his job because he can design beautiful houses. 
(Bố tớ yêu công việc của mình vì bố có thể thiết kế những ngôi nhà đẹp.)"
226,journey,n,/ˈdʒɜːrni/,"Sách trình, chuyến đi","They had a long and exciting journey across Europe. 
(Họ đã có một chuyến hành trình dài và thú vị băng qua châu Âu.)"
227,just,adv,/dʒʌst/,Vừa mới / Chỉ,"Don't worry, the school bus has just arrived. 
(Đừng lo lắng, xe buýt trường học vừa mới đến xong.)"
228,Katy,n,/ˈkeɪti/,Kây-ti,"Katy brought a delicious cake to the party. 
(Kây-ti mang một chiếc bánh ngon đến bữa tiệc.)"
229,keep,v,/kiːp/,"Giữ, giữ gìn","You should keep your room tidy and clean every day. 
(Con nên giữ cho phòng của mình gọn gàng và sạch sẽ mỗi ngày.)"
230,key,n,/kiː/,Chìa khóa,"I can't find the key to open the classroom door. 
(Tớ không thể tìm thấy chìa khóa để mở cửa phòng học.)"
231,kilometre (US kilometer),n,/kɪˈlɑːmɪtər/,Ki-lô-mét,"Our house is about one kilometre away from the market. 
(Nhà của chúng tớ cách chợ khoảng một ki-lô-mét.)"
232,kind,adj/n,/kaɪnd/,Tốt bụng / Loại,"She is a kind girl who always helps her friends. 
(Cô ấy là một cô gái tốt bụng luôn luôn giúp đỡ bạn bè.)"
233,king,n,/kɪŋ/,Vua,"The wise king lived in a magnificent castle. 
(Vị vua thông thái đã sống trong một tòa lâu đài lộng lẫy.)"
234,knee,n/v,/niː/,Đầu gối,"The little boy hurt his knee when he fell on the playground. 
(Cậu bé nhỏ bị đau đầu gối khi bị ngã trên sân chơi.)"
235,knife,n,/naɪf/,Con dao,"Be careful with that sharp knife when you cut the apple. 
(Hãy cẩn thận với con dao sắc đó khi con cắt táo nhé.)"
236,land,n/v,/lænd/,Đất liền / Hạ cánh,"Look! The big plane is starting to land at the airport. 
(Nhìn kìa! Chiếc máy bay lớn đang bắt đầu hạ cánh xuống sân bay.)"
237,language,n,/ˈlæŋɡwɪdʒ/,Ngôn ngữ,"Learning a new language like English is very useful and fun. 
(Học một ngôn ngữ mới như tiếng Anh thì rất hữu ích và vui.)"
238,large,adj,/lɑːrdʒ/,"Rộng lớn, to","They live in a large house with a beautiful swimming pool. 
(Họ sống trong một ngôi nhà lớn có một bể bơi rất đẹp.)"
239,late,adj/adv,/leɪt/,"Muộn, trễ","Wake up early so you won't be late for your school test. 
(Hãy thức dậy sớm để con không bị trễ bài kiểm tra ở trường nhé.)"
240,later,adv,/ˈleɪtər/,"Sau đó, một lát sau","I am doing my homework now; I will play video games later. 
(Bây giờ tớ đang làm bài tập; tớ sẽ chơi trò chơi điện tử sau.)"
241,lazy,adj,/ˈleɪzi/,Lười biếng,"The lazy cat spent the whole afternoon sleeping on the rug. 
(Chú mèo lười biếng đã dành cả buổi chiều để ngủ trên tấm thảm.)"
242,leave,v,/liːv/,"Rời đi, bỏ quên","What time do you usually leave your house in the morning? 
(Mấy giờ thì bạn thường rời khỏi nhà vào buổi sáng?)"
243,left (as in direction),n/adj,/left/,"Bên trái, hướng trái","Turn left at the corner to find the candy shop. 
(Hãy rẽ trái ở góc đường để tìm cửa hàng bánh kẹo.)"
244,let,v,/let/,"Cho phép, để cho","Please let me use your colorful markers to color this picture. 
(Làm ơn cho phép tớ dùng bút màu của cậu để tô bức tranh này nhé.)"
245,letter (as in mail),n,/ˈletər/,"Thư, lá thư / Chữ cái","I wrote a long letter to my penfriend in Canada. 
(Tớ đã viết một lá thư dài gửi cho người bạn qua thư ở Canada.)"
246,lie (as in lie down),v,/laɪ/,Nằm xuống,"I love to lie down on the soft green grass and look at the sky. 
(Tớ thích nằm xuống bãi cỏ xanh mềm mại và ngắm nhìn bầu trời.)"
247,lift (ride),n,/lɪft/,Đi nhờ xe,"My dad gave my teacher a lift to the train station yesterday. 
(Bố tớ đã cho cô giáo đi nhờ xe đến ga tàu hỏa vào ngày hôm qua.)"
248,lift,v/n,/lɪft/,Nâng lên / Thang máy,"Can you help me lift this heavy box onto the table, please? 
(Cậu có thể giúp tớ nâng chiếc hộp nặng này lên bàn được không?)"
249,light,n/adj,/laɪt/,Ánh sáng / Nhẹ,"Please turn on the light; it's getting dark in the room. 
(Làm ơn bật đèn lên; trong phòng bắt đầu tối rồi.)"
250,a little,det/adv,/ə ˈlɪtl/,"Một chút, một ít","Add a little sugar to the tea to make it taste better. 
(Hãy thêm một chút đường vào trà để nó có vị ngon hơn.)"
251,London,n,/ˈlʌndən/,Luân Đôn,"London is the capital city of England. 
(Luân Đôn là thủ đô của nước Anh.)"
252,look after,v,/lʊk ˈæftər/,Chăm sóc,"My older sister helps look after our puppy when mom is busy. 
(Chị gái tớ giúp chăm sóc chú chó con khi mẹ bận.)"
253,look like,v,/lʊk laɪk/,Trông giống như,"That fluffy white cloud looks like a big ice cream cone! 
(Đám mây trắng bồng bềnh kia trông giống như một cây kem ốc quế lớn!)"
254,lovely,adj,/ˈlʌvli/,"Đáng yêu, tuyệt vời","We had a lovely picnic under the big tree yesterday. 
(Chúng tớ đã có một buổi dã ngoại tuyệt vời dưới gốc cây lớn ngày hôm qua.)"
255,low,adj/adv,/loʊ/,Thấp,"The birds are flying low because it is going to rain. 
(Những chú chim đang bay thấp vì trời sắp đổ mưa.)"
256,lucky,adj,/ˈlʌki/,May mắn,"You are so lucky to win the first prize in the game! 
(Cậu thật là may mắn khi giành giải nhất trong trò chơi!)"
257,magazine,n,/ˈmæɡəziːn/,Tạp chí,"My sister loves reading a fashion magazine every weekend. 
(Chị gái tớ thích đọc một cuốn tạp chí thời trang mỗi cuối tuần.)"
258,make sure,v,/meɪk ʃʊr/,"Đảm bảo, chắc chắn","Make sure you pack your lunchbox before going to school. 
(Hãy chắc chắn rằng con đã xếp hộp cơm trưa vào cặp trước khi đến trường.)"
259,manager,n,/ˈmænɪdʒər/,Người quản lý,"The bank manager is talking to the customers nicely. 
(Người quản lý ngân hàng đang trò chuyện rất lịch sự với khách hàng.)"
260,March,n,/mɑːrtʃ/,tháng Ba,"Flowers start to bloom in March. 
(Hoa bắt đầu nở vào tháng Ba.)"
261,married,adj,/ˈmærid/,Đã kết hôn,"My aunt and uncle have been married for ten years. 
(Dì và chú của tớ đã kết hôn được mười năm rồi.)"
262,match (football),n,/mætʃ/,Trận đấu (bóng đá),"Are you going to watch the football match on TV tonight? 
(Cậu có định xem trận đấu bóng đá trên ti vi tối nay không?)"
263,maths (US math),n,/mæθ/,Môn Toán,"I like math because solving puzzles is very fun. 
(Tớ thích môn toán vì việc giải các câu đố rất vui.)"
264,May,n,/meɪ/,tháng Năm,"The weather is warm and sunny in May. 
(Thời tiết ấm áp và nắng vào tháng Năm.)"
265,may,modal v,/meɪ/,Có thể (xin phép/khả năng),"May I go out to get a glass of water, please? 
(Em thưa thầy/cô, em có thể ra ngoài xin cốc nước được không ạ?)"
266,meal,n,/miːl/,Bữa ăn,"Breakfast is the most important meal of the day. 
(Bữa sáng là bữa ăn quan trọng nhất trong ngày.)"
267,mechanic,n,/məˈkænɪk/,"Thợ máy, thợ sửa xe","The mechanic is fixing the engine of my dad's car. 
(Người thợ máy đang sửa động cơ xe ô tô của bố tớ.)"
268,medicine,n,/ˈmedɪsn/,Thuốc,"You should take this medicine to feel better. 
(Con nên uống liều thuốc này để cảm thấy khỏe hơn.)"
269,meet,v,/miːt/,Gặp gỡ,"Let's meet in front of the cinema at 6 p.m. 
(Chúng mình hãy gặp nhau ở trước rạp chiếu phim lúc 6 giờ tối nhé.)"
270,meeting,n,/ˈmiːtɪŋ/,Cuộc họp,"The teachers are having an important meeting in the room. 
(Các thầy cô giáo đang có một cuộc họp quan trọng ở trong phòng.)"
271,member,n,/ˈmembər/,Thành viên,"Tom is a new member of our school chess club. 
(Tom là một thành viên mới của câu lạc bộ cờ vua trường mình.)"
272,metal,n/adj,/ˈmetl/,Kim loại,"This strong robot is made of shiny silver metal. 
(Con rô-bốt mạnh mẽ này được làm bằng kim loại màu bạc sáng lấp lánh.)"
273,Michael,n,/ˈmaɪkl/,Mai-cơn,"Michael won first prize in the art competition. 
(Mai-cơn đã giành giải nhất trong cuộc thi vẽ.)"
274,midday,n,/ˌmɪdˈdeɪ/,Trưa (12 giờ trưa),"The sun is very hot and bright at midday. 
(Mặt trời rất nóng và sáng chói vào lúc giữa trưa.)"
275,middle,n/adj,/ˈmɪdl/,Ở giữa,"There is a big round table in the middle of the room. 
(Có một chiếc bàn tròn lớn ở ngay giữa căn phòng.)"
276,midnight,n,/ˈmɪdnaɪt/,Nửa đêm (12 giờ đêm),"We stayed up until midnight to celebrate the New Year. 
(Chúng tớ đã thức đến tận nửa đêm để đón mừng năm mới.)"
277,might,modal v,/maɪt/,"Có lẽ, có thể","Take an umbrella; it might rain later this afternoon. 
(Hãy mang theo ô nhé; chiều muộn hôm nay có thể trời sẽ mưa đấy.)"
278,million,n/det,/ˈmɪljən/,Triệu,"There are millions of stars shining in the night sky. 
(Có hàng triệu ngôi sao đang tỏa sáng trên bầu trời đêm.)"
279,mind,v,/maɪnd/,"Phiền, bận tâm","Do you mind if I open the window for some fresh air? 
(Bạn có phiền không nếu tớ mở cửa sổ để đón chút không khí trong lành?)"
280,minute,n,/ˈmɪnɪt/,Phút,"Please wait for five minutes; the school bus is coming. 
(Làm ơn đợi trong năm phút nhé; xe buýt trường học đang đến rồi.)"
281,missing,adj,/ˈmɪsɪŋ/,"Bị mất, thất lạc","We found the missing puzzle piece under the sofa. 
(Chúng tớ đã tìm thấy mảnh ghép hình bị mất ở dưới ghế sô-pha.)"
282,mix,v,/mɪks/,"Trộn, pha trộn","If you mix red and yellow paint, you get orange. 
(Nếu bạn trộn màu đỏ và màu vàng, bạn sẽ được màu cam.)"
283,money,n,/ˈmʌni/,Tiền,"I am saving my money to buy a new bicycle. 
(Tớ đang tiết kiệm tiền để mua một chiếc xe đạp mới.)"
284,month,n,/mʌnθ/,Tháng,"There are twelve months in a year, and May is my favorite. 
(Có mười hai tháng trong một năm, và tháng Năm là tháng yêu thích của tớ.)"
285,motorway,n,/ˈmoʊtərweɪ/,Đường cao tốc,"The cars are driving very fast on the motorway. 
(Các xe ô tô đang chạy rất nhanh trên đường cao tốc.)"
286,much,det/adv,/mʌtʃ/,Nhiều,"How much milk is left in the big bottle? 
(Còn lại bao nhiêu sữa trong cái chai lớn thế?)"
287,museum,n,/mjuˈziːəm/,Bảo tàng,"We saw ancient things and giant dinosaur bones at the museum. 
(Chúng tớ đã nhìn thấy những đồ vật cổ xưa và xương khủng long khổng lồ ở bảo tàng.)"
288,necklace,n,/ˈnekləs/,Vòng cổ,"My mother wore a beautiful pearl necklace to the party. 
(Mẹ tớ đã đeo một chiếc vòng cổ ngọc trai xinh đẹp đến bữa tiệc.)"
289,nest,n/v,/nest/,Tổ chim,"Look! There are three tiny blue eggs inside the bird's nest. 
(Nhìn kìa! Có ba quả trứng màu xanh nhỏ xíu bên trong tổ chim.)"
290,news,n,/nuːz/,Tin tức,"My grandpa watches the evening news on TV every day. 
(Ông nội tớ xem tin tức buổi tối trên ti vi mỗi ngày.)"
291,newspaper,n,/ˈnuːzpeɪpər/,Tờ báo,"Dad is reading a newspaper while drinking his hot coffee. 
(Bố đang đọc báo trong khi uống cà phê nóng.)"
292,next,adj/adv,/nekst/,"Tiếp theo, bên cạnh","The toy shop is next to the big sweet bakery. 
(Cửa hàng đồ chơi nằm ngay bên cạnh tiệm bánh ngọt lớn.)"
293,no problem,phrase,/noʊ ˈprɑːbləm/,Không có chi / Dễ thôi,"Thank you for helping me! - ""No problem!"" 
(Cảm ơn bạn đã giúp tớ! - ""Không có chi!"")"
294,noisy,adj,/ˈnɔɪzi/,Ồn ào,"The classroom was very noisy before the teacher came in. 
(Lớp học đã rất ồn ào trước khi giáo viên bước vào.)"
295,no-one,pron,/ˈnoʊ wʌn/,Không một ai,"The room was dark and empty; no-one was there. 
(Căn phòng tối om và trống rỗng; không có một ai ở đó cả.)"
296,north,n/adj/adv,/nɔːrθ/,Hướng bắc,"The birds are flying north to enjoy the warm summer. 
(Những chú chim đang bay về hướng bắc để tận hưởng mùa hè ấm áp.)"
297,November,n,/noʊˈvembər/,tháng Mười Một,"The weather gets cold in November. 
(Thời tiết trở lạnh vào tháng Mười Một.)"
298,nowhere,adv,/ˈnoʊwer/,Không nơi nào,"I looked for my keys everywhere, but they were nowhere. 
(Tớ đã tìm chìa khóa ở khắp mọi nơi, nhưng chẳng thấy ở nơi nào cả.)"
299,ocean,n,/ˈoʊʃn/,Đại dương,"Dolphins and huge whales love swimming in the deep ocean. 
(Cá heo và những con cá voi khổng lồ thích bơi lội ở đại dương sâu thẳm.)"
300,October,n,/ɑːkˈtoʊbər/,tháng Mười,"Halloween is celebrated on October 31st. 
(Halloween được tổ chức vào ngày 31 tháng Mười.)"
301,octopus,n,/ˈɑːktəpʊs/,Con bạch tuộc,"An octopus has eight long arms and lives deep in the ocean. 
(Một con bạch tuộc có tám cánh tay dài và sống ở sâu dưới đại dương.)"
302,of course,phrase,/əv ˈkɔːrs/,Tất nhiên rồi,"Can you help me with this puzzle? - ""Of course I can!"" 
(Bạn có thể giúp tớ làm trò chơi xếp hình này không? - ""Tất nhiên là được chứ!"")"
303,office,n,/ˈɑːfɪs/,Văn phòng,"My mom works in a big, modern office in the city center. 
(Mẹ tớ làm việc trong một văn phòng lớn và hiện đại ở trung tâm thành phố.)"
304,Oliver,n,/ˈɑːlɪvər/,Ô-li-vơ,"Oliver loves playing the piano after school. 
(Ô-li-vơ thích chơi đàn piano sau giờ học.)"
305,olives,n,/ˈɑːlɪvz/,Quả ô-liu,"She loves to put green and black olives on her pizza. 
(Cô ấy thích cho quả ô-liu xanh và đen lên bánh pizza của mình.)"
306,once,adv,/wʌns/,Một lần,"I go to the library once a week to borrow adventure books. 
(Tớ đến thư viện một lần một tuần để mượn sách phiêu lưu.)"
307,online,adj/adv,/ˌɑːnˈlaɪn/,"Trực tuyến, trên mạng","We sometimes have fun online English lessons with our teacher. 
(Thỉnh thoảng chúng tớ có những tiết học tiếng Anh trực tuyến rất vui với giáo viên.)"
308,other,det/pron,/ˈʌðər/,Khác,"This marker is broken; please give me the other one. 
(Chiếc bút màu này bị hỏng rồi; làm ơn đưa cho tớ chiếc khác nhé.)"
309,oven,n,/ˈʌvn/,Lò nướng,"Be careful! The oven is very hot because Mom is baking cookies. 
(Cẩn thận nhé! Lò nướng đang rất nóng vì mẹ đang nướng bánh quy.)"
310,over,prep,/ˈoʊvər/,"Qua, phía trên / Hết","The brave dog jumped over the small garden wall. 
(Chú chó dũng cảm đã nhảy qua bức tường vườn nhỏ.)"
311,p.m. (for time - post meridiem),phrase,/ˌpiː ˈem/,Giờ chiều/tối,"Our school football match starts at 4 p.m. this Friday. 
(Trận bóng đá của trường chúng tớ bắt đầu lúc 4 giờ chiều Thứ Sáu này.)"
312,pajamas (UK pyjamas),n,/pəˈdʒæməz/,Bộ đồ ngủ,"I always put on my favorite blue pajamas before going to bed. 
(Tớ luôn mặc bộ đồ ngủ màu xanh yêu thích trước khi đi ngủ.)"
313,passenger,n,/ˈpæsɪndʒər/,Hành khách,"There are many passengers waiting for the train on the platform. 
(Có rất nhiều hành khách đang đợi tàu hỏa trên sân ga.)"
314,past,prep/n/adj,/pæst/,Qua (giờ / Quá khứ),"It's half past seven, so it's time to get ready for school. 
(Bây giờ là bảy giờ rưỡi rồi, nên đã đến lúc chuẩn bị đi học.)"
315,path,n,/pæθ/,"Đường mòn, lối đi","Follow the small stone path to find the secret garden. 
(Hãy đi theo lối đi nhỏ bằng đá này để tìm khu vườn bí mật.)"
316,pepper,n,/ˈpepər/,Ớt / Hạt tiêu,"Do you like eating green peppers in your salad? 
(Cậu có thích ăn ớt chuông xanh trong món sa-lát không?)"
317,perhaps,adv,/pərˈhæps/,Có lẽ,"Perhaps we can go for a walk in the park if the rain stops. 
(Có lẽ chúng mình có thể đi dạo ngoài công viên nếu trời tạnh mưa.)"
318,photographer,n,/fəˈtɑːɡrəfər/,Nhiếp ảnh gia,"The photographer took an amazing picture of the flying eagle. 
(Nhiếp ảnh gia đã chụp được một bức ảnh tuyệt vời về chú chim đại bàng đang bay.)"
319,piece,n,/piːs/,"Mảnh, miếng","Would you like a piece of this delicious strawberry cake? 
(Bạn có muốn một miếng bánh dâu tây thơm ngon này không?)"
320,pilot,n,/ˈpaɪlət/,Phi công,"The friendly pilot waved to the children before the plane took off. 
(Người phi công thân thiện đã vẫy tay chào lũ trẻ trước khi máy bay cất cánh.)"
321,pizza,n,/ˈpiːtsə/,Bánh pizza,"My family often shares a large tomato and cheese pizza on Saturdays. 
(Gia đình tớ thường cùng ăn một chiếc bánh pizza cà chua và phô mai lớn vào các ngày thứ Bảy.)"
322,planet,n,/ˈplænɪt/,Hành tinh,"Earth is the beautiful blue planet where we live. 
(Trái Đất là hành tinh xanh xinh đẹp nơi chúng ta đang sống.)"
323,plastic,n/adj,/ˈplæstɪk/,"Nhựa, bằng nhựa","We shouldn't use plastic bags to protect our environment. 
(Chúng ta không nên dùng túi nhựa để bảo vệ môi trường của mình.)"
324,platform,n,/ˈplætfɔːrm/,Sân ga,"The train to London is waiting at platform number three. 
(Chuyến tàu đến London đang đợi ở sân ga số ba.)"
325,pleased,adj,/pliːzd/,"Hài lòng, vui mừng","The teacher was very pleased with our excellent project. 
(Cô giáo đã rất hài lòng với dự án xuất sắc của chúng tớ.)"
326,pocket,n,/ˈpɑːkɪt/,Túi quần/áo,"He put the small silver key inside his jacket pocket. 
(Cậu ấy đã cất chiếc chìa khóa nhỏ màu bạc vào trong túi áo khoác.)"
327,police officer,n,/pəˈliːs ɑːfɪsər/,Cảnh sát,"The police officer helped the lost boy find his mother. 
(Người cảnh sát đã giúp cậu bé bị lạc tìm thấy mẹ của mình.)"
328,police station,n,/pəˈliːs steɪʃn/,Đồn cảnh sát,"The police station is next to the big city museum. 
(Đồn cảnh sát nằm ngay cạnh bảo tàng lớn của thành phố.)"
