No,Word,Parts of Speech,IPA,Vietnamese,Example
212,outside,adv + n + prep,/ˌaʊtˈsaɪd/,bên ngoài,"It is cold outside. 
(Bên ngoài trời lạnh lắm.)"
213,pair,n,/per/,một đôi / cặp,"I need a new pair of shoes. 
(Tớ cần một đôi giày mới.)"
214,pasta,n,/ˈpɑːstə/,mì ống,"I like to eat pasta for lunch. 
(Tớ thích ăn mì ống vào bữa trưa.)"
215,panda,n,/ˈpændə/,gấu trúc,"The panda is eating bamboo. 
(Con gấu trúc đang ăn tre.)"
216,Paul,n,/pɔːl/,,
217,parent,n,/ˈperənt/,phụ huynh (bố/mẹ),"My parent is waiting at the gate. 
(Bố/mẹ tớ đang đợi ở cổng.)"
218,pet,n,/pet/,thú cưng,"My favorite pet is a small dog. 
(Thú cưng yêu thích của tớ là một chú chó nhỏ.)"
219,parrot,n,/ˈpærət/,con vẹt,"The parrot can say ""Hello"". 
(Con vẹt có thể nói ""Xin chào"".)"
220,Peter,n,/ˈpiːtər/,,
221,party,n,/ˈpɑːrti/,bữa tiệc,"Welcome to my birthday party! 
(Chào mừng đến với bữa tiệc sinh nhật của tớ!)"
222,picnic,n,/ˈpɪknɪk/,dã ngoại,"We are having a picnic in the garden. 
(Chúng tớ đang có một buổi dã ngoại trong vườn.)"
223,pirate,n,/ˈpaɪrət/,cướp biển,"I want to be a pirate for Halloween. 
(Tớ muốn làm cướp biển vào dịp Halloween.)"
224,present,n,/ˈpreznt/,món quà,"This present is for you! 
(Món quà này là dành cho bạn!)"
225,place,n,/pleɪs/,"nơi, chỗ","This is a beautiful place. 
(Đây là một nơi thật đẹp.)"
226,pretty,adj,/ˈprɪti/,xinh đẹp,"She has a pretty dress. 
(Cô ấy có một chiếc váy xinh đẹp.)"
227,plant,n + v,/plænt/,thực vật / cây,"We need to water the plant. 
(Chúng ta cần tưới nước cho cây.)"
228,puppy,n,/ˈpʌpi/,chó con,"The puppy is very cute. 
(Chú chó con thật là đáng yêu.)"
229,plate,n,/pleɪt/,cái đĩa,"Put the cake on the plate. 
(Hãy để bánh lên đĩa.)"
230,put on,v,/pʊt ɑːn/,mặc vào,"Put on your coat, it's cold. 
(Hãy mặc áo khoác vào, trời lạnh đấy.)"
231,pool,n,/puːl/,hồ bơi,"I go to the pool to swim. 
(Tớ đến hồ bơi để bơi.)"
232,quick,adj,/kwɪk/,nhanh,"He is a quick runner. 
(Cậu ấy là một người chạy nhanh.)"
233,quickly,adv,/ˈkwɪkli/,một cách nhanh chóng,"Run quickly to catch the bus! 
(Hãy chạy thật nhanh để bắt xe buýt nào!)"
234,quiet,adj,/ˈkwaɪət/,yên tĩnh,"Be quiet, please! 
(Làm ơn hãy giữ yên tĩnh!)"
235,quietly,adv,/ˈkwaɪətli/,một cách yên tĩnh,"She is reading quietly. 
(Cô ấy đang đọc sách một cách yên tĩnh.)"
236,rabbit,n,/ˈræbɪt/,con thỏ,"The rabbit has long ears. 
(Con thỏ có đôi tai dài.)"
237,ride,n,/raɪd/,cưỡi (xe/ngựa),"Can you ride a bike? 
(Bạn có biết đi xe đạp không?)"
238,rock,n,/rɑːk/,hòn đá,"There is a big rock in the river. 
(Có một hòn đá lớn ở dưới sông.)"
239,round,adj + adv + prep,/raʊnd/,tròn,"The ball is round. 
(Quả bóng thì tròn.)"
240,rain,n + v,/reɪn/,mưa,"I like to play in the rain. 
(Tớ thích chơi dưới mưa.)"
241,river,n,/ˈrɪvər/,dòng sông,"We can swim in the river. 
(Chúng mình có thể bơi ở dòng sông.)"
242,roof,n,/ruːf/,mái nhà,"The cat is on the roof. 
(Con mèo đang ở trên mái nhà.)"
243,rainbow,n,/ˈreɪnboʊ/,cầu vồng,"Look at the rainbow in the sky! 
(Hãy nhìn cầu vồng trên bầu trời kìa!)"
244,road,n,/roʊd/,con đường,"Don't run on the road. 
(Đừng chạy trên đường lộ.)"
245,safe,adj,/seɪf/,an toàn,"It is safe to cross the street here. 
(Qua đường ở đây thì an toàn.)"
246,sail,n + v,/seɪl/,chèo thuyền / đi tàu,"We can sail a boat on the lake. 
(Chúng mình có thể chèo thuyền trên hồ.)"
247,salad,n,/ˈsæləd/,sa lát,"I eat salad every day. 
(Tớ ăn sa lát mỗi ngày.)"
248,Sally,n,/ˈsæli/,,
249,sandwich,n,/ˈsænwɪtʃ/,bánh mì kẹp,"I have a sandwich for lunch. 
(Tớ có một chiếc bánh mì kẹp cho bữa trưa.)"
250,Saturday,n,/ˈsætərdeɪ/,thứ Bảy,"I go to the cinema on Saturday. 
(Tớ đi xem phim vào thứ Bảy.)"
251,scarf,n,/skɑːrf/,khăn quàng cổ,"I wear a wool scarf in winter. 
(Tớ quàng một chiếc khăn len vào mùa đông.)"
252,seat,n,/siːt/,chỗ ngồi,"Is this seat free? 
(Chỗ ngồi này còn trống không ạ?)"
253,second,adj + adv,/ˈsekənd/,thứ hai / hạng nhì,"He is the second student in the line. 
(Cậu ấy là học sinh thứ hai trong hàng.)"
254,shall,v,/ʃəl/,sẽ / nên,"Shall we go to the park? 
(Chúng mình cùng đi công viên nhé?)"
255,shark,n,/ʃɑːrk/,con cá mập,"The shark has many sharp teeth. 
(Con cá mập có rất nhiều răng sắc nhọn.)"
256,shop,v,/ʃɑːp/,cửa hàng,"My mum is in the pet shop. 
(Mẹ tớ đang ở trong cửa hàng thú cưng.)"
257,shopping,n,/ˈsɑːpɪŋ/,việc mua sắm,"I love going shopping for new toys. 
(Tớ rất thích đi mua sắm đồ chơi mới.)"
258,shopping centre,n,/ˈʃɑːpɪŋ sentər/,trung tâm mua sắm,"There is a cinema in the shopping centre. 
(Có một rạp chiếu phim trong trung tâm mua sắm.)"
259,shoulder,n,/ˈʃoʊldər/,vai,"He carries his bag on his shoulder. 
(Cậu ấy đeo cặp trên vai.)"
260,shout,v,/ʃaʊt/,hét lên,"Don't shout in the library! 
(Đừng hét lên trong thư viện nhé!)"
261,shower,n,/ˈʃaʊər/,vòi hoa sen / việc tắm,"I take a shower every morning. 
(Tớ tắm vòi hoa sen mỗi sáng.)"
262,skate,n + v,/skeɪt/,trượt (patin/băng),"Can you skate on the ice? 
(Bạn có biết trượt băng không?)"
263,skip,v,/skɪp/,nhảy dây / nhảy qua,"The girls like to skip in the playground. 
(Các bạn gái thích nhảy dây ở sân chơi.)"
264,slow,adj,/sloʊ/,chậm,"Turtles are very slow animals. 
(Rùa là loài động vật rất chậm chạp.)"
265,slowly,adv,/ˈsloʊli/,một cách chậm chạp,"Please speak slowly, I don't understand. 
(Làm ơn hãy nói chậm thôi, tớ không hiểu.)"
266,snow,n + v,/snoʊ/,tuyết,"Look! There is snow on the mountain. 
(Nhìn kìa! Có tuyết trên núi.)"
267,someone,pron,/ˈsʌmwʌn/,một ai đó,"Someone is knocking at the door. 
(Có ai đó đang gõ cửa.)"
268,something,pron,/ˈsʌmθɪŋ/,một cái gì đó,"There is something in my shoe. 
(Có cái gì đó ở trong giày của tớ.)"
269,sometimes,adv,/ˈsʌmtaɪmz/,thỉnh thoảng,"Sometimes I go to bed late. 
(Thỉnh thoảng tớ đi ngủ muộn.)"
270,son,n,/sʌn/,con trai,"He is the son of a famous doctor. 
(Cậu ấy là con trai của một bác sĩ nổi tiếng.)"
271,soup,n,/suːp/,súp / canh,"I like hot tomato soup. 
(Tớ thích món súp cà chua nóng.)"
272,sports centre,n,/ˈspɔːrts sentər/,trung tâm thể thao,"We play badminton at the sports centre. 
(Chúng tớ chơi cầu lông ở trung tâm thể thao.)"
273,square,adj + n,/skwer/,hình vuông / quảng trường,"Draw a square on your paper. 
(Hãy vẽ một hình vuông lên giấy của bạn.)"
274,stair(s),n,/ster/,bậc thang / cầu thang,"Be careful when you walk down the stairs. 
(Hãy cẩn thận khi bạn đi xuống cầu thang.)"
275,star,n,/stɑːr/,ngôi sao,"Look at the bright star in the sky. 
(Hãy nhìn ngôi sao sáng trên bầu trời kìa.)"
276,station,n,/ˈsteɪʃn/,nhà ga / trạm,"The train is at the station. 
(Tàu hỏa đang ở nhà ga.)"
277,stomach,n,/ˈstʌmək/,dạ dày / bụng,"My stomach is full. 
(Bụng của tớ đã no rồi.)"
278,stomach-ache,n,/ˈstʌmək eɪk/,đau bụng,"I ate too much candy and now I have a stomach-ache. 
(Tớ đã ăn quá nhiều kẹo và bây giờ tớ bị đau bụng.)"
279,straight,adj,/streɪt/,thẳng,"Go straight and then turn left. 
(Hãy đi thẳng rồi sau đó rẽ trái.)"
280,strong,adj,/strɔːŋ/,khỏe mạnh,"An elephant is very strong. 
(Con voi rất khỏe mạnh.)"
281,Sunday,n,/ˈsʌndeɪ/,Chủ Nhật,"We visit our grandparents every Sunday. 
(Chúng tớ đi thăm ông bà vào mỗi Chủ Nhật.)"
282,sunny,adj,/ˈsʌni/,có nắng,"It is a sunny day today. 
(Hôm nay là một ngày có nắng.)"
283,supermarket,n,/ˈsuːpərmɑːrkɪt/,siêu thị,"We buy milk at the supermarket. 
(Chúng tớ mua sữa ở siêu thị.)"
284,surprised,adj,/sərˈpraɪzd/,ngạc nhiên,"I am surprised to see you here! 
(Tớ rất ngạc nhiên khi thấy bạn ở đây!)"
285,sweater,n,/ˈswetər/,áo len,"Put on your sweater, it's cold. 
(Hãy mặc áo len vào, trời lạnh đấy.)"
286,sweet,adj + n,/swiːt/,ngọt / kẹo,"These grapes are very sweet. 
(Những quả nho này rất ngọt.)"
287,swim,n,/swɪm/,bơi,"I can swim like a fish. 
(Tớ có thể bơi như một con cá.)"
288,swimming pool,n,/ˈswɪmɪŋ puːl/,hồ bơi,"Let's go to the swimming pool. 
(Chúng mình cùng đến hồ bơi nào.)"
289,take,v,/teɪk/,cầm / nắm / lấy,"Take an umbrella with you. 
(Hãy cầm theo ô bên mình nhé.)"
290,"take off 
(i.e. get undressed)",v,/teɪk ɔːf/,cởi ra (quần áo),"Take off your dirty shoes! 
(Hãy cởi đôi giày bẩn của bạn ra!)"
291,tall,adj,/tɔːl/,cao,"There are many tall trees in the forest. 
(Có nhiều cây cao trong rừng.)"
292,tea,n,/tiː/,trà,"My grandma drinks tea every afternoon. 
(Bà tớ uống trà mỗi chiều.)"
293,temperature,n,/ˈtemprətʃər/,nhiệt độ,"The temperature is very high today. 
(Nhiệt độ hôm nay rất cao.)"
294,terrible,adj,/ˈterəbl/,khủng khiếp / tồi tệ,"The weather is terrible today. 
(Thời tiết hôm nay thật tồi tệ.)"
295,text,n + v,/tekst/,tin nhắn / văn bản,"I send a text to my friend. 
(Tớ gửi một tin nhắn cho bạn của tớ.)"
296,than,conj + prep,/ðæn/,hơn,"A horse is bigger than a dog. 
(Con ngựa thì to hơn con chó.)"
297,then,adv,/ðen/,sau đó,"Wash your hands, then eat dinner. 
(Hãy rửa tay, sau đó ăn tối nhé.)"
298,thin,adj,/θɪn/,gầy / mỏng,"This book is very thin. 
(Cuốn sách này rất mỏng.)"
299,thing,n,/θɪŋ/,vật / thứ,"What is that thing on the table? 
(Cái thứ gì ở trên bàn vậy?)"
300,think,v,/θɪŋk/,suy nghĩ,"I think it's going to rain. 
(Tớ nghĩ là trời sắp mưa rồi.)"
301,third,adj + adv,/θɜːrd/,thứ ba,"Tuesday is the third day of the week. 
(Thứ Ba là ngày thứ ba trong tuần.)"
302,thirsty,adj,/ˈθɜːrsti/,khát nước,"I am thirsty, I need some water. 
(Tớ khát nước quá, tớ cần một ít nước.)"
303,Thursday,n,/ˈθɜːrzdeɪ/,thứ Năm,"We have music class on Thursday. 
(Chúng tớ có tiết âm nhạc vào thứ Năm.)"
304,ticket,n,/ˈtɪkɪt/,vé,"Do you have a ticket for the movie? 
(Bạn có vé xem phim không?)"
305,tired,adj,/ˈtaɪərd/,mệt mỏi,"I am tired after a long day. 
(Tớ thấy mệt mỏi sau một ngày dài.)"
306,tooth/teeth,n,/tuːθ/ - /tiːθ/,răng,"Brush your teeth twice a day. 
(Hãy chải răng hai lần một ngày.)"
307,toothache,n,/ˈtuːθeɪk/,đau răng,"I have a toothache, I must see a dentist. 
(Tớ bị đau răng, tớ phải đi gặp nha sĩ.)"
308,toothbrush,n,/ˈtuːθbrʌʃ/,bàn chải đánh răng,"My toothbrush is blue. 
(Bàn chải đánh răng của tớ màu xanh dương.)"
309,top,adj + n,/tɑːp/,đỉnh / phía trên,"The bird is at the top of the tree. 
(Con chim đang ở trên đỉnh cây.)"
310,towel,n,/ˈtaʊəl/,khăn tắm,"Dry your hands with this towel. 
(Hãy lau khô tay bằng chiếc khăn tắm này.)"
311,town,n,/taʊn/,thị trấn,"I live in a small town. 
(Tớ sống ở một thị trấn nhỏ.)"
312,town/city centre,n,/ˌtaʊn ˈsentər/,trung tâm thị trấn,"Let's go to the town centre to buy food. 
(Hãy đến trung tâm thị trấn để mua đồ ăn.)"
313,travel,v,/ˈtrævl/,du lịch / đi lại,"I want to travel around the world. 
(Tớ muốn đi du lịch vòng quanh thế giới.)"
314,treasure,n,/ˈtreʒər/,kho báu,"The pirates found the treasure. 
(Những tên cướp biển đã tìm thấy kho báu.)"
315,trip,n,/trɪp/,chuyến đi,"How was your trip to the beach? 
(Chuyến đi biển của bạn thế nào?)"
316,Tuesday,n,/ˈtuːzdeɪ/,thứ Ba,"We play football every Tuesday. 
(Chúng tớ đá bóng vào mỗi thứ Ba.)"
317,uncle,n,/ˈʌŋkl/,chú / cậu / bác trai,"My uncle is a teacher. 
(Chú của tớ là một giáo viên.)"
318,up,adv + prep,/ʌp/,lên trên,"Go up the stairs to the bedroom. 
(Hãy đi lên cầu thang đến phòng ngủ.)"
319,upstairs,adv + n,/ˌʌpˈsterz/,tầng trên,"My sister is playing upstairs. 
(Chị gái tớ đang chơi ở tầng trên.)"
320,vegetable,n,/ˈvedʒtəbl/,rau củ,"You should eat more vegetable. 
(Bạn nên ăn nhiều rau củ hơn.)"
321,Vicky,n,/ˈvɪki/,,
322,video,n + v,/ˈvɪdioʊ/,đoạn phim / video,"I am watching a funny video about cats. 
(Tớ đang xem một đoạn phim vui nhộn về những chú mèo.)"
323,village,n,/ˈvɪlɪdʒ/,ngôi làng,"My grandma lives in a small village. 
(Bà của tớ sống ở một ngôi làng nhỏ.)"
324,wait,v,/weɪt/,"đợi, chờ","Please wait for me at the school gate! 
(Làm ơn hãy đợi tớ ở cổng trường nhé!)"
325,wake (up),v,/weɪk/,thức dậy,"I wake up at seven o'clock every morning. 
(Tớ thức dậy lúc bảy giờ mỗi sáng.)"
326,walk,n,/wɔːk/,đi bộ,"Let's walk to the park together. 
(Chúng mình cùng đi bộ ra công viên nào.)"
327,wash,n + v,/wɑːʃ/,"rửa, giặt","You must wash your hands before dinner. 
(Con phải rửa tay trước khi ăn tối.)"
328,waterfall,n,/ˈwɔːtərfɔːl/,thác nước,"The waterfall is very high and beautiful. 
(Thác nước đó rất cao và đẹp.)"
329,weak,adj,/wiːk/,yếu,"My grandfather is old and a bit weak. 
(Ông của tớ đã già và hơi yếu một chút.)"
330,weather,n,/ˈweðər/,thời tiết,"What is the weather like today? 
(Thời tiết hôm nay thế nào nhỉ?)"
331,website,n,/ˈwebsaɪt/,trang web,"This website has many cool games. 
(Trang web này có rất nhiều trò chơi hay.)"
332,Wednesday,n,/ˈwenzdeɪ/,thứ Tư,"We have a math test this Wednesday. 
(Chúng tớ có bài kiểm tra toán vào thứ Tư này.)"
333,week,n,/wiːk/,tuần,"There are seven days in a week. 
(Có bảy ngày trong một tuần.)"
334,weekend,n,/ˈwiːkend/,cuối tuần,"What do you usually do at the weekend? 
(Bạn thường làm gì vào cuối tuần?)"
335,well,adj + adv,/wel/,tốt / khỏe,"He can play the piano very well. 
(Cậu ấy có thể chơi đàn piano rất tốt.)"
336,wet,adj,/wet/,ướt,"Don't sit on the grass, it is wet. 
(Đừng ngồi trên cỏ, nó đang bị ướt đấy.)"
337,whale,n,/weɪl/,cá voi,"The whale is the biggest animal in the sea. 
(Cá voi là loài động vật lớn nhất dưới biển.)"
338,when,adv + conj + i:nt,/wen/,khi nào,"When is your birthday? 
(Khi nào là sinh nhật của bạn?)"
339,which,pron,/wɪtʃ/,cái nào / nào,"Which ice cream do you like? 
(Bạn thích loại kem nào?)"
340,who,pron,/huː/,ai,"Who is your best friend? 
(Ai là người bạn thân nhất của bạn?)"
341,why,i:nt,/waɪ/,tại sao,"Why are you so happy today? 
(Tại sao hôm nay bạn lại vui thế?)"
342,wind,n,/wɪnd/,gió,"The wind is blowing very hard. 
(Gió đang thổi rất mạnh.)"
343,windy,adj,/ˈwɪndi/,có gió,"It is a windy day, let's fly a kite! 
(Hôm nay trời có gió, chúng mình đi thả diều nào!)"
344,work,n + v,/wɜːrk/,làm việc,"My dad has to work on Saturdays. 
(Bố tớ phải làm việc vào các ngày thứ Bảy.)"
345,world,n,/wɜːrld/,thế giới,"There are many countries in the world. 
(Có rất nhiều quốc gia trên thế giới.)"
346,worse,adj + adv,/wɜːrs/,tệ hơn,"My cold is worse today. 
(Bệnh cảm của tớ hôm nay tệ hơn rồi.)"
347,worst,adj + adv,/wɜːrst/,tệ nhất,"That was the worst movie I've ever seen. 
(Đó là bộ phim tệ nhất mà tớ từng xem.)"
348,would,v,/wʊd/,sẽ / muốn (lời mời),"Would you like some orange juice? 
(Bạn có muốn uống một ít nước cam không?)"
349,wrong,adj,/rɔːŋ/,sai,"Oh no! This answer is wrong. 
(Ôi không! Câu trả lời này bị sai rồi.)"
350,yesterday,adv + n,/ˈjestərdeɪ/,ngày hôm qua,"I went to the zoo with my family yesterday. 
(Tớ đã đi sở thú với gia đình vào ngày hôm qua.)"
